ID,YEAR,INCOM16,CONINC,DEGREE,PADEG,MADEG,SPDEG,MAWRKGRW,FEFAM,FECHLD,CONPRESS,CONJUDGE,CONLEGIS,GOD,HAPPY,NATENVIY,EQWLTH,ABANY,CAPPUN,RES16,NATEDUCY
1011,1972,3,50926,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
961,1972,3,33333,1,1,0,7,0,0,0,0,0,0,0,2,0,0,0,0,2,0
308,1972,1,3704,0,8,8,7,0,0,0,0,0,0,0,2,0,0,0,0,3,0
767,1972,3,25926,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0
1042,1972,3,41667,1,9,9,1,0,0,0,0,0,0,0,3,0,0,0,0,6,0
1329,1972,2,3704,0,7,0,7,0,0,0,0,0,0,0,2,0,0,0,0,1,0
640,1972,3,25926,1,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,1,0
1588,1972,1,11111,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
1445,1972,3,41667,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0
294,1972,4,50926,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0
159,1972,3,33333,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0
360,1972,1,11111,0,7,0,7,0,0,0,0,0,0,0,2,0,0,0,0,2,0
523,1972,3,50926,1,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0
634,1972,4,33333,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0
223,1972,4,83333,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0
799,1972,3,50926,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,5,0
286,1972,3,41667,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0
298,1972,3,11111,0,0,7,7,0,0,0,0,0,0,0,2,0,0,0,0,3,0
526,1972,3,11111,1,1,0,7,0,0,0,0,0,0,0,2,0,0,0,0,3,0
497,1972,3,11111,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0
1243,1972,3,41667,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1133,1972,2,69444,0,8,8,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0
115,1972,3,41667,1,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,5,0
1335,1972,2,3704,0,8,8,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
1604,1972,3,0,0,9,8,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0
1300,1972,3,50926,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0
940,1972,2,3704,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
772,1972,2,41667,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0
1420,1972,3,33333,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0
15,1972,3,25926,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
342,1972,1,18519,0,8,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0
424,1972,2,41667,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0
700,1972,3,33333,1,9,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0
1251,1972,2,25926,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0
1073,1972,3,33333,1,9,1,9,0,0,0,0,0,0,0,1,0,0,0,0,2,0
143,1972,3,33333,1,0,7,1,0,0,0,0,0,0,0,3,0,0,0,0,6,0
644,1972,3,41667,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
484,1972,3,60185,4,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,4,0
1215,1972,2,0,0,8,0,7,0,0,0,0,0,0,0,3,0,0,0,0,2,0
302,1972,2,0,0,8,8,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0
1260,1972,2,18519,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
446,1972,3,83333,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,1,0
245,1972,2,130356,4,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,3,0
1481,1972,3,50926,1,9,1,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0
10,1972,1,25926,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0
265,1972,2,18519,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0
238,1972,3,25926,1,9,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
1506,1972,1,50926,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
1386,1972,4,0,1,4,4,7,0,0,0,0,0,0,0,2,0,0,0,0,5,0
1192,1972,2,11111,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0
817,1972,3,83333,1,1,8,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0
443,1972,3,60185,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0
1297,1972,2,60185,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0
425,1972,2,0,0,7,9,7,0,0,0,0,0,0,0,2,0,0,0,0,4,0
1415,1972,3,50926,3,7,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0
40,1972,4,18519,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0
599,1972,3,41667,1,1,1,7,0,0,0,0,0,0,0,2,0,0,0,0,5,0
11,1972,2,18519,1,1,9,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
366,1972,3,18519,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
722,1972,3,3704,0,8,0,7,0,0,0,0,0,0,0,2,0,0,0,0,2,0
795,1972,3,101852,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,3,0
611,1972,3,11111,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,3,0
1031,1972,3,11111,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,4,0
614,1972,3,25926,0,8,8,9,0,0,0,0,0,0,0,1,0,0,0,0,3,0
411,1972,2,33333,4,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0
673,1972,2,25926,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0
355,1972,2,18519,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
905,1972,1,41667,0,7,1,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0
1204,1972,3,41667,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0
820,1972,2,25926,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
182,1972,2,11111,1,8,8,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
1248,1972,3,3704,1,7,9,7,0,0,0,0,0,0,0,1,0,0,0,0,3,0
197,1972,5,60185,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
373,1972,2,3704,0,8,8,7,0,0,0,0,0,0,0,3,0,0,0,0,3,0
460,1972,3,11111,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0
1331,1972,2,3704,0,7,8,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0
201,1972,2,18519,1,3,0,7,0,0,0,0,0,0,0,2,0,0,0,0,2,0
202,1972,2,41667,2,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,3,0
1458,1972,2,69444,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,6,0
63,1972,3,18519,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0
1008,1972,3,69444,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0
848,1972,2,18519,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0
778,1972,3,3704,0,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
429,1972,3,83333,1,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,6,0
1016,1972,3,130356,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0
